Sr. No.,Description,Value
1,Fleet Size (As on 31st March),49
2,Total Number of Employees (as on 31st March),6902
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,598
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,1214
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,725
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,384
2.6,Total Number of Employees (as on 31st March) - All other personnel,3981
3,No. of Employees per aircraft,141
4,Operating Revenue per Employee (Rs. In Million),8.97
5,Operating Expenses per Employee (Rs. In million),8.47
6,Operating Revenue per RPKM (Rs.),4.11
7,Operating Expenses per RPKM (Rs.),3.88
8,Operating Results (Rs. In million),3446.8
9,Balance of Non Operating items (Rs. In Million),860.5
10,Net Profit /Loss Before Income Tax (Rs. In million),4307.3
11,Net Profit /Loss After Income Tax (Rs. In million),4307.3
12,Profit or loss after tax and after extra ordinary items (Rs. In million),4307.3
