Sr. No.,Description,Value
1,Fleet Size (As on 31st March),8
2,Total Number of Employees (as on 31st March),754
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,141
2.2,Total Number of Employees (as on 31st March) - Other flight crew,1
2.3,Total Number of Employees (as on 31st March) - Cabin crew,298
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,304
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,0
2.6,Total Number of Employees (as on 31st March) - All other personnel,10
3,No. of Employees per aircraft,94
4,Operating Revenue per Employee (Rs. In Million),16.23
5,Operating Expenses per Employee (Rs. In million),16.4
6,Operating Revenue per RPKM (Rs.),5.11
7,Operating Expenses per RPKM (Rs.),5.16
8,Operating Results (Rs. In million),-131.9
9,Balance of Non Operating items (Rs. In Million),-447.1
10,Net Profit /Loss Before Income Tax (Rs. In million),-578.9
11,Net Profit /Loss After Income Tax (Rs. In million),-578.9
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-578.9
