Sr. No.,Description,Value
1,Fleet Size (As on 31st March),1
2,Total Number of Employees (as on 31st March),94
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,8
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,0
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,26
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,0
2.6,Total Number of Employees (as on 31st March) - All other personnel,60
3,No. of Employees per aircraft,94
4,Operating Revenue per Employee (Rs. In Million),3.51
5,Operating Expenses per Employee (Rs. In million),5.05
6,Operating Revenue per RPKM (Rs.),NA
7,Operating Expenses per RPKM (Rs.),NA
8,Operating Results (Rs. In million),-144.1
9,Balance of Non Operating items (Rs. In Million),-19.3
10,Net Profit /Loss Before Income Tax (Rs. In million),-163.4
11,Net Profit /Loss After Income Tax (Rs. In million),-163.4
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-163.4
