Sr. No.,Description,Value
1,Fleet Size (As on 31st March),6
2,Total Number of Employees (as on 31st March),1101
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,64
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,0
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,138
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,0
2.6,Total Number of Employees (as on 31st March) - All other personnel,899
3,No. of Employees per aircraft,184
4,Operating Revenue per Employee (Rs. In Million),5.6
5,Operating Expenses per Employee (Rs. In million),5.4
6,Operating Revenue per RPKM (Rs.),NA
7,Operating Expenses per RPKM (Rs.),NA
8,Operating Results (Rs. In million),224.1
9,Balance of Non Operating items (Rs. In Million),-178.6
10,Net Profit /Loss Before Income Tax (Rs. In million),45.5
11,Net Profit /Loss After Income Tax (Rs. In million),31.1
12,Profit or loss after tax and after extra ordinary items (Rs. In million),30.7
