Sr. No.,Description,Value
1,Fleet Size (As on 31st March),131
2,Total Number of Employees (as on 31st March),14604
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,2094
2.2,Total Number of Employees (as on 31st March) - Other flight crew,132
2.3,Total Number of Employees (as on 31st March) - Cabin crew,3880
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,916
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,217
2.6,Total Number of Employees (as on 31st March) - All other personnel,7365
3,No. of Employees per aircraft,111
4,Operating Revenue per Employee (Rs. In Million),12.72
5,Operating Expenses per Employee (Rs. In million),11.57
6,Operating Revenue per RPKM (Rs.),4.01
7,Operating Expenses per RPKM (Rs.),3.65
8,Operating Results (Rs. In million),16908
9,Balance of Non Operating items (Rs. In Million),4535.4
10,Net Profit /Loss Before Income Tax (Rs. In million),21443.4
11,Net Profit /Loss After Income Tax (Rs. In million),16591.9
12,Profit or loss after tax and after extra ordinary items (Rs. In million),16591.9
