Sr. No.,Description,Value
1,Fleet Size (As on 31st March),104
2,Total Number of Employees (as on 31st March),15293
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,1924
2.2,Total Number of Employees (as on 31st March) - Other flight crew,390
2.3,Total Number of Employees (as on 31st March) - Cabin crew,3702
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,2094
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,1104
2.6,Total Number of Employees (as on 31st March) - All other personnel,6079
3,No. of Employees per aircraft,147
4,Operating Revenue per Employee (Rs. In Million),13.9
5,Operating Expenses per Employee (Rs. In million),13.87
6,Operating Revenue per RPKM (Rs.),5.18
7,Operating Expenses per RPKM (Rs.),5.16
8,Operating Results (Rs. In million),506.6
9,Balance of Non Operating items (Rs. In Million),3401.7
10,Net Profit /Loss Before Income Tax (Rs. In million),3908.3
11,Net Profit /Loss After Income Tax (Rs. In million),3904.6
12,Profit or loss after tax and after extra ordinary items (Rs. In million),3904.6
