Sr. No.,Description,Value
1,Fleet Size (As on 31st March),23
2,Total Number of Employees (as on 31st March),2770
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,337
2.2,Total Number of Employees (as on 31st March) - Other flight crew,79
2.3,Total Number of Employees (as on 31st March) - Cabin crew,549
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,374
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,477
2.6,Total Number of Employees (as on 31st March) - All other personnel,954
3,No. of Employees per aircraft,120
4,Operating Revenue per Employee (Rs. In Million),13.1
5,Operating Expenses per Employee (Rs. In million),11.6
6,Operating Revenue per RPKM (Rs.),4.5
7,Operating Expenses per RPKM (Rs.),4
8,Operating Results (Rs. In million),4088.1
9,Balance of Non Operating items (Rs. In Million),-1538.8
10,Net Profit /Loss Before Income Tax (Rs. In million),2549.2
11,Net Profit /Loss After Income Tax (Rs. In million),1543.7
12,Profit or loss after tax and after extra ordinary items (Rs. In million),2052.5
