Sr. No.,Description,Value
1,Fleet Size (As on 31st March),23
2,Total Number of Employees (as on 31st March),1073
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,181
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,516
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,157
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,26
2.6,Total Number of Employees (as on 31st March) - All other personnel,193
3,No. of Employees per aircraft,47
4,Operating Revenue per Employee (Rs. In Million),31.03
5,Operating Expenses per Employee (Rs. In million),25.77
6,Operating Revenue per RPKM (Rs.),3.79
7,Operating Expenses per RPKM (Rs.),3.15
8,Operating Results (Rs. In million),5649.5
9,Balance of Non Operating items (Rs. In Million),-2682
10,Net Profit /Loss Before Income Tax (Rs. In million),2967.5
11,Net Profit /Loss After Income Tax (Rs. In million),2967.5
12,Profit or loss after tax and after extra ordinary items (Rs. In million),2967.5
