Sr. No.,Description,Value
1,Fleet Size (As on 31st March),13
2,Total Number of Employees (as on 31st March),1486
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,168
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,435
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,79
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,55
2.6,Total Number of Employees (as on 31st March) - All other personnel,749
3,No. of Employees per aircraft,114
4,Operating Revenue per Employee (Rs. In Million),9.35
5,Operating Expenses per Employee (Rs. In million),13.05
6,Operating Revenue per RPKM (Rs.),4.38
7,Operating Expenses per RPKM (Rs.),6.11
8,Operating Results (Rs. In million),-5492.9
9,Balance of Non Operating items (Rs. In Million),308.1
10,Net Profit /Loss Before Income Tax (Rs. In million),-5184.8
11,Net Profit /Loss After Income Tax (Rs. In million),-5184.6
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-5184.6
