Sr. No.,Description,Value
1,Fleet Size (As on 31st March),145
2,Total Number of Employees (as on 31st March),13518
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,1675
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,2642
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,911
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,4064
2.6,Total Number of Employees (as on 31st March) - All other personnel,4226
3,No. of Employees per aircraft,93
4,Operating Revenue per Employee (Rs. In Million),18.91
5,Operating Expenses per Employee (Rs. In million),18.37
6,Operating Revenue per RPKM (Rs.),5.07
7,Operating Expenses per RPKM (Rs.),4.92
8,Operating Results (Rs. In million),7306.6
9,Balance of Non Operating items (Rs. In Million),-56124.9
10,Net Profit /Loss Before Income Tax (Rs. In million),-48818.4
11,Net Profit /Loss After Income Tax (Rs. In million),-48818.4
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-57511.5
