Sr. No.,Description,Value
1,Fleet Size (As on 31st March),8
2,Total Number of Employees (as on 31st March),1241
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,141
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,315
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,172
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,217
2.6,Total Number of Employees (as on 31st March) - All other personnel,396
3,No. of Employees per aircraft,155
4,Operating Revenue per Employee (Rs. In Million),7.7
5,Operating Expenses per Employee (Rs. In million),8.8
6,Operating Revenue per RPKM (Rs.),3.4
7,Operating Expenses per RPKM (Rs.),3.9
8,Operating Results (Rs. In million),-1403.3
9,Balance of Non Operating items (Rs. In Million),0
10,Net Profit /Loss Before Income Tax (Rs. In million),-1403.3
11,Net Profit /Loss After Income Tax (Rs. In million),-1403.3
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-1403.3
