Sr. No.,Description,Value
1,Fleet Size (As on 31st March),493
2,Total Number of Employees (as on 31st March),58308
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,7183
2.2,Total Number of Employees (as on 31st March) - Other flight crew,616
2.3,Total Number of Employees (as on 31st March) - Cabin crew,13084
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,5864
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,6631
2.6,Total Number of Employees (as on 31st March) - All other personnel,24930
3,No. of Employees per aircraft,118
4,Operating Revenue per Employee (Rs. In Million),13.65
5,Operating Expenses per Employee (Rs. In million),13.22
6,Operating Revenue per RPKM (Rs.),4.68
7,Operating Expenses per RPKM (Rs.),4.53
8,Operating Results (Rs. In million),24501.7
9,Balance of Non Operating items (Rs. In Million),-49203.7
10,Net Profit /Loss Before Income Tax (Rs. In million),-24702
11,Net Profit /Loss After Income Tax (Rs. In million),-30574.9
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-38759.7
