Sr. No.,Description,Value
1,Fleet Size (As on 31st March),348
2,Total Number of Employees (as on 31st March),44790
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,5508
2.2,Total Number of Employees (as on 31st March) - Other flight crew,616
2.3,Total Number of Employees (as on 31st March) - Cabin crew,10442
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,4953
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,2567
2.6,Total Number of Employees (as on 31st March) - All other personnel,20704
3,No. of Employees per aircraft,129
4,Operating Revenue per Employee (Rs. In Million),12.1
5,Operating Expenses per Employee (Rs. In million),11.7
6,Operating Revenue per RPKM (Rs.),4.5
7,Operating Expenses per RPKM (Rs.),4.4
8,Operating Results (Rs. In million),17195.1
9,Balance of Non Operating items (Rs. In Million),6921.2
10,Net Profit /Loss Before Income Tax (Rs. In million),24116.3
11,Net Profit /Loss After Income Tax (Rs. In million),18243.4
12,Profit or loss after tax and after extra ordinary items (Rs. In million),18751.8
