Sr. No.,Description,Value
1,Fleet Size (As on 31st March),11
2,Total Number of Employees (as on 31st March),533
2.1,Total Number of Employees (as on 31st March) - Pilots and co -pilots,116
2.2,Total Number of Employees (as on 31st March) - Other flight crew,0
2.3,Total Number of Employees (as on 31st March) - Cabin crew,142
2.4,Total Number of Employees (as on 31st March) - Maintenance and overhaul personnel,0
2.5,Total Number of Employees (as on 31st March) - Ticketing and sales personnel,0
2.6,Total Number of Employees (as on 31st March) - All other personnel,275
3,No. of Employees per aircraft,48
4,Operating Revenue per Employee (Rs. In Million),7.05
5,Operating Expenses per Employee (Rs. In million),9.53
6,Operating Revenue per RPKM (Rs.),11.6
7,Operating Expenses per RPKM (Rs.),15.69
8,Operating Results (Rs. In million),-1323.1
9,Balance of Non Operating items (Rs. In Million),-1283.3
10,Net Profit /Loss Before Income Tax (Rs. In million),-2606.4
11,Net Profit /Loss After Income Tax (Rs. In million),-2606.4
12,Profit or loss after tax and after extra ordinary items (Rs. In million),-2827.2
