STATES/UTs,Licences valid at the end of the year i.e upto 31.3.2019 (Cummulative) - Male,Licences valid at the end of the year i.e upto 31.3.2019 (Cummulative) - Female,Licences valid at the end of the year i.e upto 31.3.2019 (Cummulative) - Total,New licences issued during the year i.e during  2018-19 (Incremental) - Male,New licences issued during the year i.e during  2018-19 (Incremental) - Female,New licences issued during the year i.e during  2018-19 (Incremental) - Total
Andhra Pradesh ,58720,16853,75573,411,72,483
Arunachal Pradesh ,926,221,1147,509,269,778
Assam,43758,0,43758,785,0,785
Bihar,0,0,0,0,0,0
Chhattisgarh,4402,0,4402,32,0,32
Goa,6617,2137,8754,170,7,177
Gujarat,0,0,75437,2614,954,3568
Haryana ,99144,0,99144,25055,0,25055
Himachal Pradesh,41748,565,42313,11881,225,12106
Jammu and Kashmir,406,0,406,80,0,80
Jharkhand,66900,2463,69363,9837,686,10523
Karnataka,944914,110572,1055486,8075,952,9027
Kerala,106886,7645,114531,3471,409,3880
Madhya Pradesh ,0,0,0,0,0,0
Maharashtra,NA,NA,NA,NA,NA,NA
Manipur,NA,NA,NA,NA,NA,NA
Meghalaya,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0
Nagaland,754,0,754,0,0,0
Odisha,0,0,0,0,0,0
Punjab ,12,0,12,4839,118,4957
Rajasthan ,0,0,241419,8149,2368,10517
Sikkim,2928,632,3560,2894,630,3524
Tamil Nadu,780506,19142,799648,13670,400,14070
Telangana,6690,921,7611,688,103,791
Tripura ,546,3,549,80,0,80
Uttarakhand,6094,33,6127,421,9,430
Uttar Pradesh,227841,268,228109,7267,59,7326
West Bengal,0,0,0,0,0,0
Andaman and Nicobar Islands,0,0,0,0,0,0
Chandigarh,7542,3253,10795,765,205,970
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA,NA,NA
Delhi ,24398,1148,25546,7239,495,7734
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
Total,2431732,165856,2914444,108932,7961,116893
